IP,CODE,NAME,REGION,CITY,LAT,LON,KNOWN
36.133.28.50,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
37.139.1.197,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
37.49.226.157,NL,'Netherlands','Drenthe','Meppel',52.695830,6.194440,YES
37.49.226.161,NL,'Netherlands','Drenthe','Meppel',52.695830,6.194440,YES
37.49.226.178,NL,'Netherlands','Drenthe','Meppel',52.695830,6.194440,YES
37.49.226.62,NL,'Netherlands','Drenthe','Meppel',52.695830,6.194440,YES
37.59.55.14,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
39.129.23.23,CN,'China','Yunnan','Kunming',25.038890,102.718330,YES
41.94.28.9,MZ,'Mozambique','Maputo','Maputo',-25.965280,32.589170,YES
43.225.117.234,IN,'India','Karnataka','Bengaluru',12.976230,77.603290,YES
43.227.67.207,CN,'China','Guangdong','Shenzhen',22.545540,114.068300,YES
43.243.37.227,IN,'India','Gujarat','Ahmedabad',23.033330,72.616670,YES
43.254.220.207,CN,'China','Shanghai','Shanghai',31.222220,121.458060,YES
45.225.216.80,AR,'Argentina','Santa Fe','Rosario',-32.946820,-60.639320,YES
46.101.174.188,DE,'Germany','Hessen','Frankfurt am Main',50.115520,8.684170,YES
46.101.245.176,DE,'Germany','Hessen','Frankfurt am Main',50.115520,8.684170,YES
46.101.43.224,GB,'United Kingdom of Great Britain and Northern Ireland','England','London',51.508530,-0.125740,YES
49.232.55.161,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
49.233.160.103,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
49.233.51.204,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
49.233.83.167,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
49.88.112.115,CN,'China','Jiangsu','Lianyungang',34.600000,119.166667,NO
5.101.107.183,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
5.135.164.227,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
5.188.66.49,KZ,'Kazakhstan','Almaty','Almaty',43.250000,76.950000,YES
51.104.0.170,GB,'United Kingdom of Great Britain and Northern Ireland','England','London',51.508530,-0.125740,YES
51.158.162.242,NL,'Netherlands','Noord-Holland','Haarlem',52.380840,4.636830,YES
51.178.16.227,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.178.182.171,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.254.129.128,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.255.197.164,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.68.44.13,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.75.208.181,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.83.73.115,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.91.110.51,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.91.159.46,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
51.91.250.49,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
54.36.163.62,GB,'United Kingdom of Great Britain and Northern Ireland','England','London',51.508530,-0.125740,YES
54.36.182.244,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
54.37.71.204,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
54.38.33.178,FR,'France','Hauts-de-France','Roubaix',50.694210,3.174560,YES
54.39.138.249,CA,'Canada','Quebec','Montreal',45.508840,-73.587810,YES
59.36.137.105,CN,'China','Guangdong','Shenzhen',22.545540,114.068300,YES
59.36.172.8,CN,'China','Guangdong','Shenzhen',22.545540,114.068300,YES
60.212.191.66,CN,'China','Shandong','Weihai',37.501670,122.113610,YES
61.252.141.83,KR,'Korea (Republic of)','Seoul-teukbyeolsi','Seoul',37.568260,126.977830,YES
62.171.176.242,DE,'Germany','Bayern','Munich',48.137430,11.575490,YES
62.210.206.78,FR,'France','Ile-de-France','Paris',48.853410,2.348800,YES
62.234.142.49,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
62.234.148.144,CN,'China','Beijing','Beijing',39.907500,116.397230,YES
67.205.135.65,US,'United States of America','New York','New York City',40.719938,-74.005012,YES
67.207.89.207,US,'United States of America','New York','New York City',40.719938,-74.005012,YES
68.183.35.255,US,'United States of America','New York','New York City',40.719938,-74.005012,YES
68.183.82.97,US,'United States of America','New York','New York City',40.719938,-74.005012,YES
68.187.220.146,US,'United States of America','Massachusetts','Worcester',42.262590,-71.802290,YES
71.168.137.61,US,'United States of America','New Jersey','Camden',39.925950,-75.119620,YES
77.233.4.133,RU,'Russian Federation','Krasnodarskiy kray','Krasnodar',45.048800,38.972500,YES
77.49.167.248,GR,'Greece','Attiki','Athens',37.979450,23.716220,YES
77.55.235.152,PL,'Poland','Malopolskie','Krakow',50.083330,19.916670,YES
77.65.17.2,PL,'Poland','Wielkopolskie','Poznan',52.406920,16.929930,YES
78.199.19.89,FR,'France','Nouvelle-Aquitaine','Sompt',46.158600,-0.101400,YES
80.211.47.143,IT,'Italy','Toscana','Arezzo',43.461390,11.876910,YES
82.118.236.186,BG,'Bulgaria','Sofia (stolitsa)','Sofia',42.697510,23.324150,YES
85.172.11.101,RU,'Russian Federation','Krasnodarskiy kray','Bryukhovetskaya',45.806030,38.999590,YES
85.209.0.100,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
85.209.0.101,NL,'Netherlands','Noord-Holland','Amsterdam',52.374030,4.889690,YES
